Year,FIPS,State,Life Expectancy,95% CI - Low,95% CI - High,Median Household Income,% Low Birthweight,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,Chlamydia Rate,Teen Birth Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,% Some College,% Unemployed,% Disconnected Youth,% Children in Poverty,Income Ratio,% Children in Single-Parent Households,Residential segregation - Black/White,Homicide Rate,Firearm Fatalities Rates,Social Association Rate,Injury Death Rate,% Long Commute - Drives Alone,% Not Proficient in English,% Rural
2017,17000,Illinois,79.2503818,79.19942023,79.30134338,63044,8.266421927,10.95022455,9.9,332.3,15.45940345,29.7,8.6,22.3,21.44461807,589.9,23.25007988,18.261442,9.767476706,2.941711819,5092,43,46,68.66908223,4.95808222,6.674559434,17,4.984205813,32.39271815,71.67492668,7,10.2,9.9429598,59.226542,40.9,4.368766968,11.51212972
2017,18000,Indiana,77.07282597,77.00262425,77.1430277,54134,8.052100414,15.04822338,11.9,199.5,21.77782905,33.4,7.1,26.7,17.61904551,514.2,28.37536938,23.208354,10.95990702,6.312638003,5006,42,49,62.3883594,3.525521042,6.823322821,17.8,4.394969439,33.55824295,68.17322223,5.9,13.7,12.3237203,74.088832,30.7,1.513664507,27.55639361
2017,19000,Iowa,79.45785335,79.36074754,79.55495916,58706,6.654305878,11.07655135,9.7,98.1,17.08001743,33.2,8.2,23.7,22.10570701,441.6,20.43781427,10.250627,6.517999307,2.942560675,3808,51,53,70.34127969,3.129097617,4.547597962,12.6,4.251720509,28.98264414,63.13119371,2.3,8.5,15.2429769,66.806201,19.9,1.592713898,35.98067198
2017,20000,Kansas,78.5638226,78.45952832,78.66811687,56382,7.073205747,11.56150291,10.1,122.4,17.38427352,33.2,6.8,24.8,18.67714248,465.3,27.92033675,11.165759,12.28035793,5.152260405,4024,45,46,69.60254311,3.622824321,5.539089936,14.7,4.343110894,28.80110037,57.75753311,4.4,12.7,13.710372,72.539419,20.3,2.183011857,25.80184206
2017,21000,Kentucky,75.41251155,75.32742789,75.4975952,48332,8.828102712,16.48253483,12.6,184.3,24.59343153,33.8,7,28.6,17.25353786,433.7,35.98575836,31.975957,7.423396531,3.687692655,5949,40,45,61.22916508,4.88731586,7.656382125,22.1,5.121551444,33.94166141,60.91994024,5.4,15.6,10.6910596,90.549124,29.5,1.014930235,41.61952654
2017,22000,Louisiana,76.05865257,75.97152393,76.1457812,46283,10.72279893,16.59008926,12.8,517.8,23.05077764,35.4,5.2,29.2,19.5900451,742,36.78435462,21.123164,12.29216161,2.973409368,5957,41,42,56.58410509,5.127864028,10.54006717,27.7,5.699915326,43.54516028,55.66805056,12.4,20.3,9.6427816,83.888598,32.7,1.463187711,26.81374924
2017,23000,Maine,78.5596139,78.40856696,78.71066084,55980,7.016255662,13.74663516,10.2,133.9,17.30342833,29.9,8.1,21.6,20.21985275,341,16.81682972,26.1715,11.939058,4.943425793,3675,46,45,66.89639934,3.279093618,5.471829353,14.2,4.606424974,31.66812807,70.35925188,1.8,11,11.2882109,81.937099,31.8,0.545836349,61.34017786
2017,24000,Maryland,79.23518956,79.15722629,79.31315283,80711,8.674814094,11.81124792,10.7,642.8,13.84752518,31,9,22.4,16.62922745,552.1,18.77436733,30.849197,8.29169495,3.701935124,4550,41,50,69.04793987,4.13771125,6.556227398,12.4,4.543963964,33.76025211,62.72929831,8,10.9,8.9951104,69.792623,49.1,3.216759937,12.80357395
2017,25000,Massachusetts,80.4463027,80.37943834,80.51316706,77385,7.5379124,11.45486789,8.9,342.5,13.66761859,24.7,9.3,21.3,21.34634262,427.3,11.15063065,29.898339,3.892958433,1.462689034,4933,54,53,72.671958,3.710298559,4.244296052,13.5,5.482891832,31.01571403,62.24503644,2.2,3.4,9.4259047,59.378983,42.4,4.518970308,8.027944161
2017,26000,Michigan,78.06734229,78.0101773,78.12450727,54840,8.453976427,13.83217294,10.8,183.7,19.30484974,32,7.1,23.4,19.60625899,507.9,21.83797949,23.549981,7.307336013,2.936452244,5203,44,46,67.72345045,4.638663047,7.096006309,19.6,4.707455685,34.2641644,73.19275828,6.3,11.7,9.9003133,72.0797,32.8,1.491719364,25.43276566
2017,27000,Minnesota,80.91737457,80.84254603,80.99220311,68364,6.532181588,9.385590707,8.3,175.6,14.51363317,27.9,8.8,20.1,21.71279577,422.1,15.52318165,11.973844,5.815446171,3.302113612,6015,46,50,74.5431662,3.452399915,4.046174027,11.7,4.3430621,27.85595574,61.89800662,2.1,7.7,13.0204644,63.607587,30.6,2.139779224,26.72764038
2017,28000,Mississippi,74.81002752,74.70336484,74.91669021,43595,11.54447046,16.10487182,14.6,383,22.18639774,36.8,4,31.9,13.6364223,708.7,39.42562088,11.790086,18.33986806,5.030718462,6085,39,41,59.03281798,5.074600748,9.304021978,27.6,5.334922381,44.21488984,49.37948334,10.7,19.3,12.6637847,84.974059,31.6,0.795066118,50.65461934
2017,29000,Missouri,77.40322226,77.32938586,77.47705865,53506,8.21695337,14.19197482,11.6,237.4,20.77499288,32.2,6.8,25.8,19.75779505,534.6,27.88380365,20.798018,13.18435389,5.015030304,4800,43,45,66.18312893,3.756254661,6.452422876,18.5,4.581344804,33.18338683,71.45148542,8,17.7,11.7787884,83.048325,31.5,0.964108507,29.56382671
2017,30000,Montana,78.51762752,78.33887431,78.69638073,53262,7.459408948,11.86566847,8.1,67.7,17.15814697,25.8,7.3,21.6,20.94283236,434.1,26.09519475,12.028297,12.11289481,6.083247123,3142,42,42,67.8498332,4.030206087,6.871722627,15.9,4.540461235,27.5887926,75.54032585,3.3,19.1,14.2694906,92.473802,15.7,0.286070011,44.1069723
